hate_speech,knowledge_sentence,counter_narrative
the islamic veil is the demonstration of political islam .,"""the islamic veil . . . the european court of human rights has upheld france's controversial law banning islamic veils in public . he said: ""the islamic veil . . . ""i wanted to change the islamic symbol of a veil , "" burkini creator aheda zanetti says . he has presided over numerous politically sensitive cases , including those of protesters arrested in connection with demonstrations that followed the 2009 presidential elections .","false because the veil is not islamic , it is present in all religions ."
the islamic veil is the demonstration of political islam .,"""the islamic veil . . . he said: ""the islamic veil . . . the paper says she started wearing an islamic veil and led a religiously conservative lifestyle . some western feminists insist that the islamic veil ( niqab and burqa ) is sexy , mysterious , and comfortable; others view the veil as a religious or privacy right . ""the islamic veil , worn with dignity and without ostentation is an innocuous symbol of a cultural and religious identity which deserves all our respect , "" pisanu said .","the veil is not political , but religious , but politicians have made it political to use it as a weapon of war ."
the islamic veil is the demonstration of political islam .,"""the islamic veil . . . he said: ""the islamic veil . . . while banning such apparel is not politically correct , the alternative of waiting for a male suicide bomber clad in a full-body veil to murder the european court of human rights has upheld france's controversial law banning islamic veils in public . the veil could frighten children""mother of school",political argument for electoral purposes .
the islamic veil is the demonstration of political islam .,"""the islamic veil . . . he said: ""the islamic veil . . . the veil could frighten children""mother of school a young frenchwoman of north african origin , she opted to wear an islamic veil , though she said the pious choice of attire cost her a job as a cashier . they are multi-cultural relativists who have sacrificed universal standards of human rights on the altar of "" political correctness . ""","false , the veil is simply a sign of modesty ."
the islamic veil is the demonstration of political islam .,"""the islamic veil . . . he said: ""the islamic veil . . . the veil could frighten children""mother of school the european court of human rights has upheld france's controversial law banning islamic veils in public . the law had forbidden teachers from wearing a full islamic veil .",i've never seen a veiled woman that represents a political movement .
the islamic veil is the demonstration of political islam .,"the european court of human rights has upheld france's controversial law banning islamic veils in public . criticizing a french proposal to ban all-concealing veils in many public places: wearing islamic head scarves and full veils in public has been banned since 1981 . in xinjiang , the ban on burqas comes after a variety of other restrictions placed on islamic culture . in 2010 , france passed a law that banned burqas and other full face coverings ( including another item of islamic dress , the niqab ) in public places .","political badges , are they subject to a ban in public places ? no !"
the islamic veil is the demonstration of political islam .,"( awareness of one 's own limitations ) . indeed , belber's new play , "" the power of duff , "" grapples with questions of spirituality and religion and its place in the public sphere . one that couches its position more in the public rejection of religion than simple non-belief . he began co operating with bruno bauer on editing hegel 's philosophy of religion in 1840 . in short , religion has as much right in the public sphere as the secularism that sometimes claims ownership of it .","nevertheless , to express one's adherence to an ideology , religion or philosophy in the public sphere is protected by article 9 of the echr ."
the islamic veil is the demonstration of political islam .,"they are multi-cultural relativists who have sacrificed universal standards of human rights on the altar of "" political correctness . "" what do you think of attaching a brand mentality to human rights ? the league of human rights ( ldh ) said it would challenge the ban in court . ai weiwei said western nations are tolerating a lack of human rights in china . the resolution says "" unlawful or arbitrary "" surveillance may "" contradict the tenets of a democratic society "" .",dressing at your convenience is a demonstration of a democratic society that respects human rights !
the islamic veil is the demonstration of political islam .,"camo uniforms of all shapes , sizes and sports just look cheesy . the colors , patterns , silhouettes , lines and shapes of each nation's uniform form a statement about its identity . there are tons of different shapes . he said: ""i simply forbid a uniform that is the symbol of islamic extremism . the veil could frighten children""mother of school","if that were the case , it would be uniform . now all shapes and colors are present ."
the islamic veil is the demonstration of political islam .,"""the islamic veil . . . richard w . garnett , professor of law and political science , university of notre dame he said: ""the islamic veil . . . one aim in putting the corda ledger code into the public sphere is to coax developers outside of the r3 community of financial institutions [… the veil could frighten children""mother of school",affirmation that seeks to relegate a category of citizens in the public sphere .
the islamic veil is the demonstration of political islam .,"""the islamic veil . . . he said: ""the islamic veil . . . ""i wanted to change the islamic symbol of a veil , "" burkini creator aheda zanetti says . the veil could frighten children""mother of school the european court of human rights has upheld france's controversial law banning islamic veils in public .",pure islamophobic ideology .
the islamic veil is the demonstration of political islam .,"""the islamic veil . . . he said: ""the islamic veil . . . the veil could frighten children""mother of school the vast majority of muslims reject this dangerous form of political islam - they are , after all , its chief victims . they are obligated to do that with their allegiance to the myopic platform of political islam and the collectivization of muslims .",what does political islam mean ?
the islamic veil is the demonstration of political islam .,"what do muslim women think of the ban ? muslim feminists of the past critiqued and repudiated the veil . how could women see through veils made of thicker fabric ? angola has been accused of ""banning"" islam after shutting down most of the country's mosques amid reports of violence and intimidation against women who wear the veil . ""the islamic veil . . .","women struggle to not be forced to wear the veil in the countries of the muslim world which make it compulsory , but they don't deny their belonging to islam ."
the islamic veil is the demonstration of political islam .,"""the islamic veil . . . he said: ""the islamic veil . . . the european court of human rights has upheld france's controversial law banning islamic veils in public . a young frenchwoman of north african origin , she opted to wear an islamic veil , though she said the pious choice of attire cost her a job as a cashier . they are multi-cultural relativists who have sacrificed universal standards of human rights on the altar of "" political correctness . ""","this is yet another pretext to avoid addressing the real problems of society , of which the veil is absolutely not a part . with such blindness , shouldn't you be the one to remove your veil ?"
the islamic veil is the demonstration of political islam .,"""the islamic veil . . . if your point is that elements of islam are deeply problematic , we agree . i do this in the name of religion because it excuses my violent behavior . it is freedom of religion . he said: ""the islamic veil . . .","so what is your point ? islam is a political religion , the veil does not make it violent or hateful ."
the islamic veil is the demonstration of political islam .,"""the islamic veil . . . you obviously have no basic knowledge of islam; the original muslim teachings ( he said: ""the islamic veil . . . ""i wanted to change the islamic symbol of a veil , "" burkini creator aheda zanetti says . the veil could frighten children""mother of school",the thing that bothers you is that muslims no longer raze the walls and refuse to hide anymore .
the islamic veil is the demonstration of political islam .,"the european court of human rights has upheld france's controversial law banning islamic veils in public . privately-owned television networks have long employed veiled presenters and a number of famous actresses wear veils and appear in soap operas aired on state tv . these have no place in the precincts of state schools . ""talking about islam in france is not taboo , "" dahmane said . in 2010 , france became the first european country to ban the islamic veil in public places , six years after outlawing the headscarf and other conspicuous religious symbols in state schools .","the veil is an issue in france because politicians are trying constantly to control it , while stating everywhere that women must dress as they wish . isn't it a paradox ?"
the islamic veil is the demonstration of political islam .,"the word "" islam "" is defined as "" submission to the will of god . "" maya islam literally means ""submission"" to god . ""the islamic veil . . . the god of islam is a decidedly un-anthropomorphic deity . plus the nature of god .",submission to god .
the islamic veil is the demonstration of political islam .,"""the islamic veil . . . he said: ""the islamic veil . . . ""i wanted to change the islamic symbol of a veil , "" burkini creator aheda zanetti says . the veil could frighten children""mother of school the european court of human rights has upheld france's controversial law banning islamic veils in public .",apolitical veil .
muslims steal our work .,"it has proven popular among muslims and non-muslims alike . 's job for them i call myself muslim . another said , ""not all muslims are terrorists , but all terrorists are muslims . "" "" muslims for trump "" has 428 .",muslims do not steal your job .
muslims steal our work .,"it has proven popular among muslims and non-muslims alike . 's job for them i call myself muslim . another said , ""not all muslims are terrorists , but all terrorists are muslims . "" "" muslims for trump "" has 428 .",muslims apply for a job . they do not steal it .
muslims steal our work .,"aka , muslims . muslim remarks that december , 36 non-muslim quarry workers were killed . for muslim aid workers and doctors , life is treasured . he said several non-muslims managed to group with the muslims .",muslims are workers and they are not thieves .
muslims steal our work .,"aka , muslims . i've worked with a lot of different muslim groups around america . muslims particularly encounter bias . equal employment opportunity commission this had some british muslims wondering out loud why their employers couldn't also make some concessions , like adjustments to work hours .",muslims are hired by employers . how can they steal jobs ?
muslims steal our work .,watch the hate deepen against the muslim religion . how does he feel about religion at work ? have muslims great religion . muslim remarks,"their religion prohibits stealing , how can they steal your job ?"
muslims steal our work .,"muslims are just the latest target of xenophobia . "" this climate of hatred has contributed to dozens of incidents of anti-muslim violence in recent weeks . "" christians and christian churches were also targets of violent retribution in some places . john voll , director of the centre for muslim-christian understanding at georgetown university in washington , said the speech suggested deep dismay over the conditions of christians in the muslim world . consistent with such discrimination , our survey of senegalese christian and muslim immigrants in france reveals a significant income gap between the two .","this speech targets immigrants in general , but to be accepted with a climate of hatred against muslims , he changed the name of the target . among the eastern immigrants , for example , there are christians and muslims ."
muslims steal our work .,"but he earlier said he called the hearing so that congress could examine potential civil rights violations particular to muslims , like koran burnings and restrictions on mosque construction , as well as hate speech and other forms of discrimination . in her speech monday , mrs . clinton didn't mention mr . trump by name , but did criticize "" inflammatory , anti-muslim rhetoric "" and threatening to bar muslims from entering the country . the speech also briefly united muslim and jewish groups in outrage over what they called the baptists' intolerance of other religions . it should be the muslim conscience , "" he admonished in the same speech . donald trump , the gop presidential nominee , has proposed from muslim-majority countries .","in so-called muslim countries , there are thousands of repatriated non-muslims working there without hearing this speech ."
muslims steal our work .,"the exercise of religion . rfra speaks of "" a person's exercise of religion . "" the death penalty for people who leave the muslim religion ? soothing misunderstandings between american christians and american muslims begins with a renewed national commitment to the free exercise of religion . bingham: when you became a muslim , the religion was perceived as anti-white .",the employment criterion that counts for any employer is rather the competence for the position to exercise and not the religion .
muslims steal our work .,"muslims . 11:15 amreport offensive comment muslims offensive comment muslim youth ? hey , muslims .",this comment is so unfounded .
muslims steal our work .,"'s muslims equally . i've worked with a lot of different muslim groups around america . they would blame just 'muslims . ' "" how do muslims define ""peace"" ? "" prevent isn't working , "" said one .",work must be earned .
muslims steal our work .,"""muslims in his view , human rights did not apply to muslims . ""christians preach to muslims , and muslims try to do the same . the other sentence is: "" frankly , muslim life is cheap , especially for muslims . "" muslims are muslim by religion and french , british , german , american by culture .",muslims are human and trying to survive like everyone else .
muslim women are all mothers at home .,"sincerely , muslim women . muslim women reject that . it infantilises muslim women . via muslim women against femenajstream the interviewer then noted that some muslim women wear such clothing by choice .",many housewives have no other choice .
muslim women are all mothers at home .,"the muslim sincerely , muslim women . muslim women reject that . it infantilises muslim women . in fact , muslim religion allows even women to marry four times . . via muslim women against femenajstream",housewives is a choice and not related to a religion .
muslim women are all mothers at home .,"sincerely , muslim women . w/ muslim women and muslim women reject that . it infantilises muslim women . via muslim women against femenajstream",housewife is a whole status .
muslim women are all mothers at home .,"muslim women reject that . it infantilises muslim women . so , women had to take charge of home not all women are powerless at all times . all religions cast women as sinners and temptresses .",housewives are of all religions .
muslim women are all mothers at home .,"so while muslim women may be at the center of unprecedented levels of media popularity , their time in the sun may do little more than burn them . sincerely , muslim women . femen & their use of muslim women to reinforce western imperialism"" join: w/ muslim women and muslim women reject that .",being a housewife is a noble task and requires a lot of work and little rest .
muslim women are all mothers at home .,"it is islam that is the problem , not muslim women , muslim women are told . sincerely , muslim women . w/ muslim women and muslim women reject that . it infantilises muslim women .",this is a thesis contradicted by the reality . muslim women are at home and elsewhere .
muslim women are all mothers at home .,"sincerely , muslim women . w/ muslim women and muslim women reject that . it infantilises muslim women . via muslim women against femenajstream",wrong . useless .
muslim women are all mothers at home .,"sincerely , muslim women . w/ muslim women and muslim women reject that . it infantilises muslim women . via muslim women against femenajstream",stereotype .
"ultimately , the muslims want to either convert us or kill us .","this monolithic , negative portrayal provides a skewed image of islam and muslims . now consider the laws of the muslim countries . hey , muslims . condemning muslims . . , muslims broadly support the idea of religious freedom .",the vocation of islam is not to force anyone to do anything .
"ultimately , the muslims want to either convert us or kill us .","islam is a religion of peace and love . islam is only a religion of peace if you are a moslem . those terrorists twisted a religion of peace . iran is the ""islamic republic of iran"" . afghanistan is the ""islamic republic of pakistan"" .","islam is a beautiful religion of peace , in complete harmony with the values of the republic: freedom , equality and brotherhood ."
"ultimately , the muslims want to either convert us or kill us .",but muslim fanatics cannot be allowed to define islam . moderate islam must not be passive . islam muslim - http://ow . ly/hey3pharris zafar muslim remarks muslims are supposed to be responsible for this .,in islam it is forbidden to kill or harm the human being !
"ultimately , the muslims want to either convert us or kill us .","fiqh is islamic law as practiced by people . fletcher said: "" you can practice islam and remain a latino he intentionally tries to mislead christians into despising islam and muslims . muslim prison population just condemn islam ?",islam imposes respect not proselytism everyone is free to practice or not !
"ultimately , the muslims want to either convert us or kill us .","muslim remarks islam muslim - http://ow . ly/hey3pharris zafar i'm muslim . but muslim fanatics cannot be allowed to define islam . are all the good , peaceful muslims doing islam wrong ?",islam does not impose anything to anyone !
muslims must integrate or leave france !,"in france france's "" terrorists are muslims and all muslims are terrorists , "" he said . muslim authorities in france were no exception to the rule . most muslim authorities interviewed by france 24 have expressed their approval .",it is rather that france has integrated muslims from the mediterranean .
muslims must integrate or leave france !,""" what makes muslims feel french ? "" a french police officer stands guard outside the grand mosque as people arrive for friday prayers , in paris , france . france had become a multicultural and multiethnic nation , where traditions meant very different things to different people . brigitte's husband , who is french , suggests it is muslims who might owe france something right now . toulouse , france —",what if we were to recommend the same thing for french people abroad ?
muslims must integrate or leave france !,"france france does have another choice: it could widen its national identity to include french muslims as they are . has , yet again , focused attention on france's muslim minority . muslim authorities in france were no exception to the rule . in france","muslims are already integrated into france . they drive our buses , educate our children and build the nation ."
muslims must integrate or leave france !,"inside story - stripping dual nationals of french citizenship most muslims in france feel completely french , and want the majority of french society to accept them as such . such feelings may be shared by other european muslims , but french muslims face not just social hurdles , but an officially-enshrined hostility to public displays of faith . you say muslims in france ""are not french . "" cazeneuve was speaking after a meeting with leaders of the french council of the muslim religion .","muslims are french citizens , like all citizens of other faiths , religion can't call into question the nationality or citizenship guaranteed by the french republic ."
muslims must integrate or leave france !,"in france there are six million muslims in france . "" it all has its place in france . "" this is occurring in: france - muslim 8 %philippines - mosques will need to double in france to cater for the country's muslim population , the french muslim council has claimed .",each muslim has his place in france as long as he respects the country in which he lives !
muslims must integrate or leave france !,"there are six million muslims in france . "" in france france's muslim authorities in france were no exception to the rule . most muslim authorities interviewed by france 24 have expressed their approval .","born in france and musulman , and i don't see why i would leave the country where i grew up !"
muslims must integrate or leave france !,"and the news isn't all good ( or all bad ) for muslim integration . and even with an underestimate , the news for muslim immigrant integration in france is on the pessimistic side of the debate . we should not confuse integration with assimilation . france is a useful country for our analysis because tensions surrounding muslim integration have been particularly acute there ( adida , laitin , and valfort 2010 , 2013 ) . yet others have emphasized instead that muslims in france remain distinctive on a number of key integration measures .",forced integration with a desire for assimilation is a dictatorship criterion .
"if islam is a modern religion , why are all muslim countries backward and / or at war ?","""we are not at war with islam or muslims , "" she continued . those muslim countries need to lead . "" there is no war on islam . the terrorists want muslims everywhere to believe the west is at war with islam . we are at war with radical islam . """,back ? a very relative concept .
"if islam is a modern religion , why are all muslim countries backward and / or at war ?","""we are not at war with islam or muslims , "" she continued . if more muslims here can comfortably marry islam and modernity , al-qaeda those muslim countries need to lead . "" there is no war on islam . how isis drives muslims from islam .",the two issues of war/religion must be disconnected .
"if islam is a modern religion , why are all muslim countries backward and / or at war ?","he attacked the dogmas of religion and rejected islam . ""this is a war on the soul of islam . at his time , the city was part of the abbasid caliphate , the third islamic caliphate , and was during the golden age of islam . any war for religion conflicts with the peaceful traditions of jews , catholics , protestants , muslims , mormons and others . the west is in a war of ideas against political islam .",the golden age of islam existed .
"if islam is a modern religion , why are all muslim countries backward and / or at war ?","in muslim countries , western clothes , languages , films , sports - even mcdonald ""we are not at war with islam or muslims , "" she continued . …i have to help my muslim brothers overseas…the wars ( in iraq and afghanistan ) are wars against islam . "" if more muslims here can comfortably marry islam and modernity , al-qaeda many people want to make our "" war on terror "" a war on at least a segment of the muslim religion .",western countries have largely contributed to the wars .
"if islam is a modern religion , why are all muslim countries backward and / or at war ?","in muslim countries , western clothes , languages , films , sports - even mcdonald ""we are not at war with islam or muslims , "" she continued . if more muslims here can comfortably marry islam and modernity , al-qaeda are there other muslim countries trump would like to go to war with ? those muslim countries need to lead . """,western countries often come to these countries to stir up hatred .
"if islam is a modern religion , why are all muslim countries backward and / or at war ?","a series of highly publicized incidents involving muslim women has reinforced popular perceptions that an intolerant , sexist brand of islam is on the march in france , home to europe's largest muslim population . making minimum salaries public would keep women from undervaluing their worth , said donovan , who helped craft the legislation as part of an alliance of women's and other groups known as equal pay coalition of course , it is not only in muslim countries that women face severe oppression . first women's bank of tennessee ( clarksville ) opens to cater to women customers only . the u . s . state department considers that "" discrimination against women is a significant problem "" in saudi arabia and that women have few political or social rights .","backward ? the woman has had the right to give her political opinion , to enjoy her salary , to divorce since the arrival of islam . in france , women's right to vote dates from 1945 , divorcing by mutual consent from 1792 . 1907 women have the right to dispose of their salaries . other dates ?"
"islam is a religion of war , we must all fight .","islam is a militant religion . islam ( culture of conquest ) commands to conquer land of infidels/house of war . - ""surely allah loves those who fight in his way"" religion of peace , indeed ! "" this is a fight inside of islam where everybody comes together against these outlaws . "" oh , that 's the flaws of islam ' .",your words confirm that you ignore the definition of your words .
"islam is a religion of war , we must all fight .","nationalism of the islamic resistance movement is part of its religion . ""obama declared war against muslims ( islam ) "" . ""this is a war on the soul of islam . a taste of islam the religion of the prophet is not one of polite conversation .",war 14_18 war 36_45 ? we emphasize the courage of muslims during these wars .
"islam is a religion of war , we must all fight .","islam is a militant religion . - ""surely allah loves those who fight in his way"" religion of peace , indeed ! jameela messenger of allah & defender of islam "" this is a fight inside of islam where everybody comes together against these outlaws . "" whatever it's called , this ideology is very different from the religion of islam . """,when will we fight your words ?
"islam is a religion of war , we must all fight .","islam is a militant religion . islam ( culture of conquest ) commands to conquer land of infidels/house of war . - ""surely allah loves those who fight in his way"" religion of peace , indeed ! "" this is a fight inside of islam where everybody comes together against these outlaws . "" oh , that 's the flaws of islam ' .",your words confirm that you do not know the definition of the words you use .
"islam is a religion of war , we must all fight .","""this is a war on the soul of islam . islam anti muslim frenzy . a taste of islam ""we are not at war with islam or muslims , "" she continued . at this point the majority of muslims should have joined with america and other nations to fight the jihad .","war 14-18 , war 39_45 , point out the courage of these muslims who died for france ."
"islam is a religion of war , we must all fight .","""this is a war on the soul of islam . islam is a militant religion . labels ones are aiding syrian rebels the fundamentalist islamic holy warriors of islam . - ""surely allah loves those who fight in his way"" religion of peace , indeed ! "" this is a fight inside of islam where everybody comes together against these outlaws . """,islam does not advocate war unlike your fantasies .
"islam is a religion of war , we must all fight .","hate is the product of religion . the obama administration propagandized for islam as a "" religion of peace , "" even as the bodies piled higher . the hypocrisy of calling islam the religion of peace is not wasted upon us . islam will be a religion of peace when mecca and medina become smoking craters . death to islam , stinking cult of terror and war .","islam lived in peace for centuries , it is a fact that your hate cannot deny ."
"islam is a religion of war , we must all fight .","islam is a religion of peace . . . islam indeed is religion of peace . ""our religion is a religion of peace . . . islam is a religion of peace and we must use its principals to fight the war against terror . - we will always say , "" islam is the religion of peace . """,islam is a religion of peace and not of war .
"islam is a religion of war , we must all fight .",islam is a religion of peace . . . islam indeed is religion of peace . those people clearly believe that islam is a religion of violence . 5:55 pmreport offensive comment islam is not a religion of peace and it is not a religion of violence either . islamic fundamentalists pose a danger to people of all religions .,it is hate massages that must be fought . islam is a religion that invites people to live together and therefore not to fight .
"islam is a religion of war , we must all fight .","islam is a religion of peace . . . islam indeed is religion of peace . - ""surely allah loves those who fight in his way"" religion of peace , indeed ! 5:55 pmreport offensive comment islam is not a religion of peace and it is not a religion of violence either . islamic fundamentalists pose a danger to people of all religions .","islam is a religion of peace , love and brotherhood . it has never intended to kill or brutalize people ."
"islam is a religion of war , we must all fight .","islam is a religion of peace and we must use its principals to fight the war against terror . - ""surely allah loves those who fight in his way"" religion of peace , indeed ! nationalism of the islamic resistance movement is part of its religion . but islam is a ""peaceful"" religion . under the wing of islam , it is possible for the followers of the three religions - islam , christianity and judaism - to coexist in peace and quiet with each other .",islam does not know war . islam is the opposite of war . it is only love and peace .
"islam is a religion of war , we must all fight .","he said , i spoke to [ historian of islam ] he charges religious discrimination instead of decrying racism… . zoroastrianism was the official state religion of four pre yet who ever talks about this kind of discrimination ? of course there's discrimination in america , of every kind .",discrimination .
"islam is a religion of war , we must all fight .","he was convicted of incitement to racial hatred last year . it is the time of death , we will fight a war . finally , perhaps the biggest challenge arises from widespread palestinian incitement of hatred of israel . cooper then asked whether trump believed the hatred was in the islamic religion itself . but mr . hadi also noted that expressions of opinion should be peaceful , denouncing "" violence and incitement of hatred , which is contradictory to the values of the true islamic religion . """,incitement to hatred .
"islam is a religion of war , we must all fight .","islam is a militant religion . "" but damaging the reputation of islam ? - ""surely allah loves those who fight in his way"" religion of peace , indeed ! "" this is a fight inside of islam where everybody comes together against these outlaws . "" islam is a militant religion , which calls for the extermination of everyone non muslim .",uninhibited islamophobia .
"islam is a religion of war , we must all fight .","""this is a war on the soul of islam . islam is a militant religion . "" but damaging the reputation of islam ? - ""surely allah loves those who fight in his way"" religion of peace , indeed ! "" this is a fight inside of islam where everybody comes together against these outlaws . """,islamophobic comments .
"islam is a religion of war , we must all fight .","so far most of our leaders in this war against radical islam have been pygmies . there will be more 911 in europe and in america . our children will marry caucasian in europe and in america . in more ways than one , islam was europe's midwife . - we will always say , "" islam is the religion of peace . ""","today , the fastest evolving religion in america and europe is islam . is there a war in these regions now ?"
"islam is a religion of war , we must all fight .","""this is a war on the soul of islam . this is why war must always be a last resort . one hundred years ago the last trench of islam fell , when the oppressors went towards the creation the zionist regime . islam is a militant religion . to fight islam , to suppress people in the name of terrorism , "" he said .",the armed war is the last resort to defend yourself against an oppressor .
"islam is a religion of war , we must all fight .","- ""surely allah loves those who fight in his way"" religion of peace , indeed ! fight in the way of allah islam is a religion of peace . . . islam indeed is religion of peace . *4 . 75] . . . fight in the way of allah . . .","the koran does not order war at all but peace and a gentle word . allah says in the qur'an: ""by wisdom and good exhortation , call people to the path of your lord . discuss with them in the best way"" ( sura 16 years-nahl , verse 125 )"
"islam is a religion of war , we must all fight .","islam is a militant religion , which calls for the extermination of everyone non muslim . al baghdadi ( death 230 of muslim era ) . during the first dozen years of prophet muhammad's ministry in mecca , muslims faced brutal persecution , boycott and murder at the hands of meccan society and government . muslim polemicists like sayyid qutb assert that islam's mission is to correct the injustices of the world . the quran demands the death of every non muslim .","the wars waged by the prophet were not bloodthirsty . during the 23 years of his prophecy , about 1000 deaths ( 1 . 5% of the soldiers ) were recorded in 63 fights . the first world war killed 20 million people in just 4 years . the second world war made 30 million in 6 years . however , it was not muslims who led them ."
muslims: return to your country .,"an overwhelming majority of french society attributes the failure of muslims to fully integrate to muslims' refusal to integrate themselves . "" the vast , vast majority of muslims in this country and around the world are moderates . mosques will need to double in france to cater for the country's muslim population , the french muslim council has claimed . in 2011 , gallup found that 56 percent of french muslims felt western societies ""respected"" muslim societies . -the majority of muslims across the world denounce acts like suicide bombings , though muslims in some countries say acts of violence are sometimes justified .",no muslim . the majority of muslims in france are french and republicans .
muslims: return to your country .,but those are all overwhelmingly muslim countries . is there something wrong with being a muslim in this country ? so muslims need bush . muslims need george bush ? ! hollywood depictions of muslims:,so we start with the premise that they all come from a single country .
muslims: return to your country .,muslim respondents' views about other muslims . muslim 99 %syria - muslim 90 %tajikistan - muslim 83 %egypt - muslim 90 %gaza - muslim 16 %kenya - muslim 10 %russia - american muslims are serving their country .,muslim ?
muslims: return to your country .,"/culture of this country . our stories are reflective of muslim communities across the country . in some countries , the proportion of muslims is enormously sensitive . i urge any muslim country muslims of kerala are among the most progressive in the country .",i am flattered that my city of essonne is considered a country .
muslims: return to your country .,"british muslims in the spirit of ramadan a muslim problem demands a muslim solution . spirituality . ""muslims don't sleep around like non-muslims do . same country .","being muslim is a spirituality , the spirit is omnipresent ."
muslims: return to your country .,"there are six million muslims in france . "" so basically these countries have allowed muslims to take over parts of their country , entire portions , towns . "" now in france , you have people kicking muslims out of restaurants . they call france . that to me is — why would france or any other country allow muslims that have come into the country to basically take over portions of the country ?","our country is france ! this is where we were born , this is where we grew up , this is where we pay our taxes and this is where we will die ."
muslims: return to your country .,"we're talking about those muslims . "" germany become the latest country to ban the burqa ? table 1: numbers of muslim foreign fighters in syria by selected countries of origin , as estimated by each country's intelligence service in 2013 . many american muslims say they are living through a difficult time in this country . it's estimated that there are more than 4 . 7 million muslims in germany .",what country are you talking about ? where do you want to deport them ? in germany ? or maybe in drancy ? to read to you .
muslims: return to your country .,""" true muslims know that the ruthless violence of so called islamic jihadists goes against the very tenets of our religion . "" true muslims know that the ruthless violence of so called islamic jihadists goes against the very tenets of our religion . american security , the future of muslims in america and meaning of islamic teachings are at stake . for oubrou , france has been since the french revolution less of a country and more of a concept , committed to human rights and universal equality . the study found that more than 300 million muslims , or one-fifth of the muslim population , live in countries where islam is not the majority religion .","uh , how do you explain that ? in your statement there is a mixture between the concept of citizenship and the concept of religion . islam is my religion and france is my country . #dealwithit ."
muslims: return to your country .,"i urge any muslim country muslims . same country . our stories are reflective of muslim communities across the country . in some countries , the proportion of muslims is enormously sensitive .",where is the muslimstan ? the nearest embassy ?
muslims: return to your country .,"namely , france's holy triumvirate of liberty , equality and fraternity . the values of liberty , equality and fraternity that are the basis for the french republic demand nothing less . as his brother stated at a press conference , merabet was a proud muslim who gave his life defending french values of ""liberty , equality and fraternity . "" in the name of equality and fraternity , liberty has been curtailed in france . in france , every french citizen is supposedly equal by law - an ideal that was established during the french revolution .","i am french , i love my france: liberty , equality , fraternity . unfortunately there is not much french spirit left since long ago , they cut off its precious values ."
muslims: return to your country .,""" what makes muslims feel french ? "" the responses to specific questions showed that a minority of french muslims favored islamic traditions over french law . why forbid a muslim to dress as she wants ? and , in turn , they felt affected as french citizens . looking at the muslim community specifically , 63 % of french voters in the ipsos study said that islam isn't compatible with the values of french society .","i am french , i have never felt that french as islam ."
muslims: return to your country .,"or , are muslims synonymous with the islam religion ? of course islam is a religion . "" islam . muslim-majority countries or christian-majority countries ? islam and muslims became the typical ""other . ""","you do not know maybe , but islam is a religion , not a nationality ."
muslims: return to your country .,"noirs frequently felt "" disaffected "" from french society . flights to and from heathrow and the air france flight to paris' charles de gaulle airport . lillian supports this president-elect , who casually talks about barring muslims from entering this country , but noirs were alienated from both algeria and france . most of the country 's institutions have offices in bangui , including french ones such as électricité de france ( edf ) .","i was born in france from french parents , grandparents and great-grandparents . i'm going back to where ? in gaulle ?"
muslims: return to your country .,"this is his way of carrying out his proposed ban on muslims from some countries without getting into their religious affiliation . canada is a bilingual and multicultural society home to people of many different ethnic , religious and national origins , with the majority of the population made up of old world immigrants and their descendants . these self-determined categories are currently based on a number of factors , including: sex , religious affiliation , gender , race , ethnicity , sexual orientation , national origin , disability or serious illness . the world cup represents the possibility that people from dramatically different backgrounds can join together in the creation of an event that doesn't require the checking religious affiliation or ethnic identity at the door . wrong ! ! at present , british law protects people on the basis of their colour , race or ethnic origin but not their religion .","ethnic origin and religious affiliation cannot be superimposed , as the same country may have people of different denominations . this is also what makes our sweet france so rich ."
muslims: return to your country .,"jews in jesus' day thought of the samaritans as the violent heretics , much the same way that christians think of muslims today . jesus of nazareth was not the "" founder of christianity . "" "" and christians believe jesus is god incarnate; muslims deny that . and it's not just muslims , christians and jews fighting each other . ""jesus is a jew .","unfortunately , muslimstan does not exist . religions/beliefs/philosophies/systems thinking transcend geographic boundaries and admit no limits except those which man attaches himself . jesus is born in nazareth . for this reason , christians and jews should settle there ? get serious ."
muslims: return to your country .,"getting richer does not make you happier . how our greatest invention makes us richer , smarter , greener , healthier , and happier . and even as britain gets richer , muslims are sliding down the scale . ukraine is a sad country . to be clear , life satisfaction does not decline by an awful lot for richer countries .",why ? will you be richer or happier ?
muslims: return to your country .,"they are representatives of planet earth . "" ""they are representatives of planet earth . "" planet earth flag proposal and the 10 rings . 1 in 4 in the world population is muslim . countries lead the world in something , "" writes artist rafaan anvari .",my place and my world is the planet earth .
muslims: return to your country .,"there are six million muslims in france . "" in france france's examining france they call france .",my country is france .
muslims: return to your country .,"i urge any muslim country muslims . same country . our stories are reflective of muslim communities across the country . in some countries , the proportion of muslims is enormously sensitive .","no , i just cannot because i am an arab outside and a french inside ."
muslims: return to your country .,"i urge any muslim country it is our duty to keep this country , our country , beautiful country , safe , "" he said . islam teaches and requires that muslims live as loyal citizens of the countries where they reside . muslims . "" that gives me fear about this beautiful country , "" he added .","long live france , my beautiful country ."
muslims: return to your country .,"toulouse , france — in france france's it was france . "" france today is an amalgam of peoples from more than 100 countries .","diversity is an enrichment , do not try to impoverish france !"
